facility_id,operator,facility_name,lat,lon,state
NM-30-015-47042,"Tap Rock Operating, Llc",Wtg Federal Com #234H,32.019216,-103.933433,New Mexico
NM-30-015-45587,"Xto Energy, Inc",Ross Draw 25 36 Federal Com #101H,32.020537,-103.942609,New Mexico
NM-30-015-43635,"Wpx Energy Permian, Llc",Rdx Federal Com 17 #039H,32.049384,-103.899195,New Mexico
NM-30-015-37780,"Wpx Energy Permian, Llc",Rdx 17 #005,32.048931,-103.902359,New Mexico
NM-30-015-49080,"Novo Oil & Gas Northern Delaware, Llc",Ovation Federal Com 1318 #233H,32.299532,-104.048779,New Mexico
NM-30-015-49077,"Novo Oil & Gas Northern Delaware, Llc",Ovation Federal Com 1318 #134H,32.299313,-104.048927,New Mexico
NM-30-025-35718,Cog Operating Llc,Wynell Federal #003,32.664726,-103.647736,New Mexico
NM-30-025-37065,Cog Operating Llc,Wynell Federal #005,32.662502,-103.64891,New Mexico
NM-30-015-32845,Mewbourne Oil Co,Winchester 36 State Com #001,32.615269,-104.132652,New Mexico
NM-30-015-38067,Mewbourne Oil Co,Winchester 36 State #002H,32.624211,-104.131991,New Mexico
NM-30-015-27223,Oxy Usa Inc,Cal Mon #011,32.258175,-103.754974,New Mexico
NM-30-015-38617,"Devon Energy Production Company, Lp",Aldabra 26 Federal Com #001H,32.268375,-103.755592,New Mexico
NM-30-025-28571,Armstrong Energy Corp,Government G #002,32.640751,-103.512077,New Mexico
NM-30-025-42710,"Xto Energy, Inc",Perla Negra Federal Com #003H,32.639136,-103.511678,New Mexico
NM-30-015-33458,Cog Operating Llc,Dry Land Swd #001,32.509834,-104.375526,New Mexico
NM-30-015-21639,"Rubicon Oil & Gas, Llc",Overshot 10 State #001,32.492081,-104.376503,New Mexico
NM-30-025-40880,Mack Energy Corp,Camel State #002C,32.679306,-103.338699,New Mexico
NM-30-025-04019,Rhombus Operating Co Ltd,Northwest Eumont Unit #111,32.658665,-103.335701,New Mexico
NM-30-025-46774,Eog Resources Inc,Frazier 27 State Com #105H,32.194347,-103.564488,New Mexico
NM-30-025-46772,Eog Resources Inc,Frazier 27 State Com #103H,32.194318,-103.561647,New Mexico
NM-30-015-46406,"Devon Energy Production Company, Lp",Lone Tree Draw 14 13 State Com #331H,32.482946,-104.168188,New Mexico
NM-30-015-48875,"Devon Energy Production Company, Lp",Bent Tree 9 11 Federal Com #621H,32.497161,-104.19543,New Mexico
NM-30-015-46773,Mewbourne Oil Co,Buffalo Trace 1 36 H3Ob Federal Com #001H,32.065947,-103.934401,New Mexico
NM-30-015-46774,Mewbourne Oil Co,Buffalo Trace 1 36 W1Ob Federal Com #001H,32.059358,-103.934497,New Mexico
NM-30-025-43602,Eog Resources Inc,Nervosa 24 State Com #503C,32.465374,-103.524447,New Mexico
NM-30-025-43603,Eog Resources Inc,Nervosa 24 State Com #504C,32.465374,-103.524561,New Mexico
NM-30-015-40471,Apache Corporation,Tony Federal #038,32.833599,-103.901978,New Mexico
NM-30-015-40390,Apache Corporation,Tony Federal #045,32.830002,-103.901627,New Mexico
NM-30-025-49339,Marathon Oil Permian Llc,Madera 26 34 25 Tb Federal #010H,32.021325,-103.428334,New Mexico
NM-30-025-49614,Marathon Oil Permian Llc,Madera 24 Wxy Federal Com #021H,32.021842,-103.418145,New Mexico
